,image_name,Good,Usable,Reject
67,67_right,0.028969668,0.6794038,0.38039994
68,70_left,0.025138143,0.04132266,0.95166403
69,70_right,0.040953513,0.9339312,0.06871574
70,72_left,0.92498463,0.054423645,0.010197078
71,72_right,0.94546044,0.040416688,0.0089509655
72,73_left,0.63332665,0.3149527,0.03222249
73,73_right,0.9875453,0.010003441,0.008264235
74,74_left,0.98753357,0.01001705,0.008263813
75,74_right,0.98753625,0.010013802,0.00826601
76,75_left,0.03855194,0.8094954,0.1439944
77,75_right,0.024710052,0.03917657,0.954061
78,78_left,0.6718648,0.24953559,0.022014415
79,78_right,0.22284009,0.5882434,0.102751814
80,79_left,0.040677488,0.91878396,0.07351987
81,79_right,0.04535641,0.94832546,0.04984393
82,81_left,0.3346266,0.60168993,0.02502764
83,81_right,0.9716905,0.023581358,0.009924178
84,82_left,0.08150823,0.88080573,0.05934895
85,82_right,0.17846908,0.70506346,0.05809122
86,84_left,0.059316892,0.92478466,0.054816354
87,84_right,0.9875875,0.0099624405,0.008269141
88,95_left,0.040373843,0.94010526,0.06364436
89,95_right,0.028075388,0.14634189,0.8411327
90,99_left,0.021991974,0.26529709,0.7681943
91,99_right,0.94410115,0.05026459,0.009311526
92,100_left,0.101170376,0.89622194,0.03325689
93,100_right,0.49933702,0.48218837,0.0319235
94,102_left,0.024980385,0.06234243,0.9284937
95,102_right,0.042563867,0.93328136,0.06257021
96,104_left,0.04704859,0.94326985,0.052280262
97,104_right,0.070165254,0.83136255,0.11051606
98,108_left,0.048175413,0.9451993,0.048181273
99,108_right,0.11276141,0.8781196,0.031721905
100,111_left,0.026488876,0.046982326,0.94522613
101,111_right,0.043468375,0.9442655,0.055049993
102,114_left,0.98742104,0.010088029,0.008283697
103,114_right,0.97888374,0.018144334,0.008207896
104,115_left,0.024685368,0.03909063,0.9541552
105,115_right,0.024581484,0.042912904,0.95014095
106,117_left,0.043386366,0.9401754,0.06006457
107,117_right,0.04548686,0.9432439,0.054034535
108,119_left,0.10927713,0.8749133,0.038079187
109,119_right,0.93794996,0.055546362,0.009995974
110,122_left,0.9875882,0.009963781,0.0082688015
111,122_right,0.9874371,0.010099264,0.008273703
112,125_left,0.98594797,0.01103409,0.0085719805
113,125_right,0.98759115,0.00996483,0.00826642
114,129_left,0.9875865,0.009969422,0.008265514
115,129_right,0.98759115,0.009964891,0.008266389
116,140_left,0.98759127,0.0099648535,0.008266381
117,140_right,0.9875875,0.009968316,0.0082651265
118,145_left,0.9714407,0.024462726,0.009522486
119,145_right,0.9784201,0.017712928,0.009384785
120,149_left,0.98759127,0.009964849,0.008266393
121,149_right,0.98759115,0.009964849,0.0082664015
122,155_left,0.982229,0.0144136315,0.00892153
123,155_right,0.68432957,0.27672288,0.027742159
124,156_left,0.0477082,0.921984,0.07495201
125,156_right,0.075915426,0.912509,0.044590343
126,157_left,0.08026815,0.3207997,0.47547
127,157_right,0.987591,0.009964745,0.008266573
128,159_left,0.026571639,0.038670342,0.9503954
129,159_right,0.024898022,0.03934712,0.9531635
130,161_left,0.9871733,0.01034379,0.008262172
131,161_right,0.9659268,0.023847485,0.011458136
132,162_left,0.98758626,0.009962845,0.008269721
133,162_right,0.98759127,0.009964844,0.008266393
134,163_left,0.65847415,0.2059767,0.07118417
135,163_right,0.04467733,0.94618964,0.052512184
136,164_left,0.045288086,0.94829404,0.050022792
137,164_right,0.98758954,0.00996586,0.008267304
138,167_left,0.082536265,0.8947584,0.05241876
139,167_right,0.97685754,0.018417463,0.010781496
140,169_left,0.9875907,0.00996537,0.0082661975
141,169_right,0.9875894,0.009966491,0.00826637
142,170_left,0.050655983,0.94327843,0.04559501
143,170_right,0.13595976,0.86210936,0.0250673
144,172_left,0.025157362,0.04335314,0.9494055
145,172_right,0.042436,0.77189803,0.15314215
146,174_left,0.048142057,0.93650484,0.05631338
147,174_right,0.96014583,0.033333506,0.010669752
148,177_left,0.062853314,0.887854,0.07764521
149,177_right,0.14381531,0.8260094,0.037498645
150,178_left,0.04310645,0.95029444,0.05123057
151,178_right,0.040231664,0.94324785,0.06081835
152,179_left,0.98709583,0.010379656,0.008353444
153,179_right,0.9875908,0.009964562,0.008266694
154,184_left,0.024657149,0.03894039,0.9544089
155,184_right,0.024660463,0.03894015,0.9544011
156,186_left,0.9875894,0.009966246,0.008267046
157,186_right,0.9875678,0.009986973,0.008263954
158,190_left,0.04855483,0.94348276,0.05008419
159,190_right,0.0429894,0.9490033,0.052234188
160,192_left,0.045342527,0.83649904,0.13823037
161,192_right,0.047370013,0.9452981,0.049965177
162,194_left,0.10647683,0.8719384,0.04382636
163,194_right,0.98641205,0.010901592,0.008469107
164,195_left,0.045984205,0.77345115,0.18117657
165,195_right,0.024723414,0.0394267,0.95382226
166,197_left,0.6443764,0.37101343,0.012460094
167,197_right,0.98758954,0.009966397,0.008266456
168,199_left,0.022546949,0.0692415,0.92575616
169,199_right,0.039157968,0.7683045,0.16650312
170,203_left,0.024683487,0.03894379,0.95435685
171,203_right,0.024428077,0.042685572,0.9515849
172,204_left,0.98758996,0.0099661285,0.008265799
173,204_right,0.98758715,0.00996913,0.008264353
174,208_left,0.98550874,0.011931549,0.007793679
175,208_right,0.987502,0.010048673,0.008260122
176,210_left,0.986498,0.011019665,0.008189211
177,210_right,0.6068285,0.4091406,0.012224537
178,211_left,0.20445009,0.76154363,0.053030934
179,211_right,0.047780134,0.73616827,0.2441485
180,214_left,0.03844924,0.77788424,0.16350657
181,214_right,0.043017656,0.94658524,0.05365721
182,216_left,0.9515867,0.042104244,0.008129057
183,216_right,0.02508159,0.038624268,0.95350033
184,217_left,0.9857159,0.012015159,0.007454781
185,217_right,0.20144857,0.7724501,0.032084268
186,218_left,0.98754907,0.010003087,0.008264733
187,218_right,0.9875908,0.009964726,0.00826662
188,219_left,0.024705134,0.039309826,0.95403486
189,219_right,0.04238145,0.944245,0.0569738
190,222_left,0.97643787,0.019659957,0.00909168
191,222_right,0.9856602,0.01155938,0.008509352
192,224_left,0.9875837,0.009968999,0.008267695
193,224_right,0.98704046,0.010336436,0.008464363
194,225_left,0.9875749,0.009980375,0.008265139
195,225_right,0.98757917,0.009961914,0.008274743
196,227_left,0.037890583,0.9200916,0.08344285
197,227_right,0.91154623,0.0715131,0.015606009
198,229_left,0.04421505,0.9474675,0.051937286
199,229_right,0.04628667,0.94525355,0.051543318
200,231_left,0.9787553,0.01819997,0.008419249
201,231_right,0.15619518,0.8398618,0.036188442
202,232_left,0.044076815,0.9486003,0.051448125
203,232_right,0.043118708,0.9411587,0.05690478
204,234_left,0.9874368,0.010088601,0.008288039
205,234_right,0.9875187,0.010022807,0.008280607
206,236_left,0.9875572,0.009969822,0.00828253
207,236_right,0.980375,0.016369838,0.008807396
208,239_left,0.08359461,0.8470806,0.08620839
209,239_right,0.038652726,0.6774989,0.33987805
210,240_left,0.98759043,0.009965017,0.008266726
211,240_right,0.98759127,0.009964849,0.008266386
212,241_left,0.9871262,0.01037921,0.008284387
213,241_right,0.98536485,0.011957362,0.008004448
214,242_left,0.05891696,0.9329051,0.044758216
215,242_right,0.047878254,0.9438186,0.049538843
216,244_left,0.950934,0.039170396,0.013020318
217,244_right,0.028674735,0.055067357,0.9318015
218,249_left,0.9875908,0.009964613,0.008266702
219,249_right,0.9870258,0.010378622,0.0084061185
220,252_left,0.9858379,0.011269505,0.00878162
221,252_right,0.98758996,0.00996514,0.008267011
222,256_left,0.98753625,0.0100256745,0.008236238
223,256_right,0.98501194,0.012443722,0.008024794
224,257_left,0.024819953,0.04074179,0.952174
225,257_right,0.025796175,0.05567677,0.9357458
226,258_left,0.985721,0.011768594,0.007862102
227,258_right,0.03408053,0.802773,0.20722449
228,259_left,0.98759115,0.009964952,0.008266374
229,259_right,0.9875865,0.009968034,0.008267347
230,260_left,0.98758495,0.009968256,0.008268458
231,260_right,0.98749137,0.0100594135,0.008253109
232,263_left,0.9875907,0.0099646365,0.008266733
233,263_right,0.98759127,0.0099648535,0.008266386
234,264_left,0.9825218,0.014125103,0.00921078
235,264_right,0.93790275,0.051331878,0.01270916
236,274_left,0.9865085,0.0101383515,0.008939019
237,274_right,0.9875887,0.00996428,0.008268012
238,277_left,0.069570325,0.8954961,0.06310755
239,277_right,0.07299614,0.8351441,0.11015744
240,279_left,0.024365218,0.10240692,0.8847323
241,279_right,0.44492996,0.54729813,0.02100361
242,280_left,0.9247878,0.062064692,0.010660766
243,280_right,0.12903881,0.7720665,0.0669019
244,283_left,0.027095173,0.103340544,0.887367
245,283_right,0.024984838,0.042484574,0.9501165
246,286_left,0.98757905,0.009976127,0.008266147
247,286_right,0.98719436,0.01034057,0.008236375
248,288_left,0.9875907,0.009965375,0.0082661975
249,288_right,0.98757833,0.009974798,0.008269783
250,289_left,0.56003815,0.3570931,0.037780963
251,289_right,0.050218888,0.6223335,0.30963376
252,294_left,0.039285846,0.90924066,0.08360367
253,294_right,0.040992092,0.5637181,0.3389141
254,299_left,0.9855823,0.012010077,0.007731773
255,299_right,0.98759127,0.0099648535,0.008266386
256,301_left,0.044361737,0.93508863,0.061711527
257,301_right,0.9875909,0.009965028,0.008266444
258,307_left,0.2873632,0.67345804,0.022073027
259,307_right,0.056089804,0.93396264,0.047091506
260,310_left,0.05142605,0.93822354,0.05298046
261,310_right,0.98758906,0.009964298,0.008267781
262,311_left,0.19561064,0.7359253,0.04863353
263,311_right,0.9875886,0.00996317,0.008268305
264,314_left,0.043323368,0.80975276,0.14718303
265,314_right,0.068476245,0.82461077,0.110566
266,316_left,0.04444597,0.9483735,0.0510936
267,316_right,0.044558745,0.9476069,0.051460207
268,317_left,0.039389547,0.90003705,0.09472459
269,317_right,0.023659905,0.18177433,0.8171306
270,318_left,0.02826632,0.08421977,0.9020351
271,318_right,0.9875908,0.009964783,0.008266608
272,320_left,0.04368648,0.9476197,0.052864637
273,320_right,0.032071657,0.75764257,0.21832998
274,322_left,0.83522815,0.13493706,0.017141422
275,322_right,0.40167162,0.57722586,0.022543112
276,323_left,0.029434545,0.5846999,0.40316752
277,323_right,0.04344438,0.92319787,0.07153604
278,325_left,0.049887203,0.9443986,0.048556507
279,325_right,0.9678362,0.026419656,0.008588035
280,326_left,0.046177376,0.9473593,0.04946503
281,326_right,0.04447496,0.9484733,0.051123295
282,328_left,0.09548613,0.8852575,0.0555965
283,328_right,0.9869393,0.010508812,0.0083740875
284,329_left,0.9862053,0.011113672,0.008521135
285,329_right,0.98759055,0.009965441,0.008266334
286,330_left,0.029813629,0.26145628,0.72916937
287,330_right,0.024678515,0.039948776,0.9534308
288,333_left,0.9875825,0.009972976,0.008265252
289,333_right,0.9875909,0.009964665,0.0082666045
290,337_left,0.9875886,0.009966636,0.008266932
291,337_right,0.9875606,0.009975929,0.008279887
292,338_left,0.38578424,0.57015395,0.028291008
293,338_right,0.8746579,0.120950766,0.010392139
294,343_left,0.04020377,0.74225205,0.22840187
295,343_right,0.035119455,0.68846226,0.23925446
296,348_left,0.9875853,0.0099703735,0.008265591
297,348_right,0.6325909,0.057037562,0.19297495
298,349_left,0.98751336,0.010053389,0.008218076
299,349_right,0.98758787,0.0099678505,0.008266366
300,352_left,0.060362544,0.88445604,0.079742745
301,352_right,0.20833191,0.78150344,0.02266725
302,355_left,0.98551625,0.010227289,0.009406754
303,355_right,0.9875896,0.009966001,0.008267081
304,356_left,0.9873262,0.010187173,0.008285241
305,356_right,0.32775366,0.6507985,0.04702184
306,358_left,0.03334454,0.66373265,0.26543173
307,358_right,0.052496243,0.9398037,0.049002033
308,360_left,0.9875866,0.009969492,0.008264978
309,360_right,0.9875871,0.009966815,0.008267828
310,363_left,0.9817764,0.01498164,0.008108525
311,363_right,0.974703,0.02069712,0.010125062
312,364_left,0.02477472,0.04978353,0.9425077
313,364_right,0.9523234,0.037191838,0.015173686
314,367_left,0.030687891,0.51523,0.41525504
315,367_right,0.024866853,0.06874396,0.9213992
316,374_left,0.04406123,0.9408998,0.056493923
317,374_right,0.0378492,0.034624815,0.9264114
318,375_left,0.030381735,0.14684099,0.84042317
319,375_right,0.02466875,0.03892231,0.9543902
320,376_left,0.3832356,0.6287854,0.015187722
321,376_right,0.9047746,0.08186007,0.008164199
322,378_left,0.024702135,0.03898111,0.95429695
323,378_right,0.02731751,0.10202036,0.881874
324,380_left,0.9873547,0.0098291505,0.008438714
325,380_right,0.029062044,0.18979652,0.8026012
326,381_left,0.96208227,0.035299007,0.0075753443
327,381_right,0.96294224,0.029796487,0.01252138
328,384_left,0.043489583,0.94007415,0.0589561
329,384_right,0.087882,0.89772844,0.042062495
330,386_left,0.90064526,0.08815483,0.013610896
331,386_right,0.07578736,0.8660593,0.08924168
332,389_left,0.98759115,0.009964872,0.008266397
333,389_right,0.98759043,0.009964322,0.008266987
334,391_left,0.039457627,0.88855857,0.113233
335,391_right,0.3084027,0.69744366,0.02133055
336,393_left,0.024821198,0.039645247,0.95350075
337,393_right,0.024696536,0.03900771,0.9542696
338,395_left,0.98758906,0.009966552,0.0082669165
339,395_right,0.97811013,0.017003862,0.0113063585
340,396_left,0.98718727,0.010177941,0.008462259
341,396_right,0.9874644,0.010059955,0.00829802
342,398_left,0.025201194,0.040228385,0.95203704
343,398_right,0.9875749,0.009960033,0.008276759
344,399_left,0.98333794,0.01314838,0.009417757
345,399_right,0.9832122,0.013442527,0.009384816
346,400_left,0.027885145,0.17214851,0.8120037
347,400_right,0.025521673,0.34502682,0.6371286
348,404_left,0.024658162,0.039039686,0.95429814
349,404_right,0.024701009,0.04034532,0.9531072
350,405_left,0.03648998,0.7312518,0.22795473
351,405_right,0.10172755,0.87130237,0.0508471
352,406_left,0.023390047,0.0705191,0.9241312
353,406_right,0.025452442,0.09921538,0.89024884
354,408_left,0.101866774,0.8991754,0.03714599
355,408_right,0.06975172,0.9172993,0.051134996
356,410_left,0.056383554,0.93383646,0.048633646
357,410_right,0.9875745,0.009978981,0.008267785
358,412_left,0.9872528,0.010210399,0.008383125
359,412_right,0.20985274,0.75311303,0.05042473
360,417_left,0.13118733,0.8522408,0.036009565
361,417_right,0.04633735,0.9464336,0.050585847
362,418_left,0.29009196,0.67036,0.04069059
363,418_right,0.896319,0.07921183,0.026801275
364,419_left,0.9818179,0.015069627,0.008245127
365,419_right,0.41714087,0.57234204,0.017528582
366,421_left,0.91310394,0.07120145,0.011762141
367,421_right,0.20319748,0.7173904,0.053537436
368,427_left,0.9875866,0.009964209,0.008270222
369,427_right,0.98758894,0.009966378,0.00826748
370,428_left,0.12502792,0.8846571,0.034719583
371,428_right,0.7409691,0.24849139,0.0094347345
372,430_left,0.98759115,0.009964783,0.008266464
373,430_right,0.9788558,0.017994585,0.0075221877
374,431_left,0.10154076,0.89212805,0.03298356
375,431_right,0.042479668,0.94301045,0.057397056
376,432_left,0.9669387,0.020034784,0.013504576
377,432_right,0.98064166,0.011614593,0.011929587
378,435_left,0.98759127,0.00996484,0.0082664015
379,435_right,0.987591,0.0099649,0.00826655
380,437_left,0.9830236,0.014350609,0.007907714
381,437_right,0.98755604,0.009996394,0.00826687
382,438_left,0.9875901,0.009964026,0.008267269
383,438_right,0.9875717,0.009981082,0.008269045
384,439_left,0.024667596,0.038982324,0.954356
385,439_right,0.028412672,0.56092036,0.39705762
386,444_left,0.98757523,0.009957898,0.008278274
387,444_right,0.9875759,0.009974229,0.00827107
388,445_left,0.59786886,0.33787692,0.032657072
389,445_right,0.98586166,0.011548413,0.008240438
390,446_left,0.10344322,0.879409,0.042622775
391,446_right,0.06361873,0.91862524,0.052587442
392,448_left,0.049456365,0.930207,0.06311631
393,448_right,0.055654738,0.9220514,0.058070738
394,449_left,0.044004787,0.92276466,0.07187129
395,449_right,0.031087134,0.22661747,0.7642567
396,451_left,0.043850604,0.93569297,0.059855625
397,451_right,0.06589094,0.92433834,0.047804132
398,456_left,0.039544377,0.9424485,0.06087825
399,456_right,0.023567507,0.08029452,0.91076684
400,457_left,0.13988695,0.8431923,0.0293182
401,457_right,0.06414323,0.9298017,0.03794244
402,458_left,0.03574461,0.8127394,0.15337077
403,458_right,0.041584898,0.82281846,0.122417994
404,460_left,0.987591,0.009964877,0.008266514
405,460_right,0.9875907,0.009964473,0.008266792
406,465_left,0.025816383,0.13515721,0.8834822
407,465_right,0.98079234,0.01596232,0.008679756
408,466_left,0.024206862,0.09399812,0.89916074
409,466_right,0.024624454,0.11375216,0.8824206
410,467_left,0.070300564,0.9185197,0.04442615
411,467_right,0.48841912,0.47051862,0.02448503
412,472_left,0.98643506,0.010919582,0.008450756
413,472_right,0.73294866,0.23929444,0.020860117
414,473_left,0.080686025,0.5868616,0.20699169
415,473_right,0.06604337,0.66638917,0.15993977
416,482_left,0.6770552,0.27752933,0.015473493
417,482_right,0.9685006,0.028537635,0.00806338
418,483_left,0.023998065,0.07272095,0.9176418
419,483_right,0.038810056,0.8374189,0.121533774
420,487_left,0.04472131,0.9489201,0.050162584
421,487_right,0.98707426,0.010460075,0.008107861
422,489_left,0.14258999,0.8589816,0.022067914
423,489_right,0.97917056,0.017836722,0.008300735
424,492_left,0.024978735,0.038747776,0.95383155
425,492_right,0.5037338,0.025355157,0.33660275
426,494_left,0.97598547,0.020692406,0.0071557015
427,494_right,0.056649562,0.9347668,0.047801524
428,495_left,0.98758894,0.009965874,0.0082667805
429,495_right,0.9875842,0.00996946,0.008268399
430,497_left,0.98757565,0.00995676,0.008280138
431,497_right,0.98758906,0.009963729,0.008268074
432,498_left,0.025591325,0.0397598,0.9516767
433,498_right,0.044143304,0.9462175,0.05334989
434,502_left,0.98759115,0.009964821,0.008266417
435,502_right,0.9875565,0.0099532455,0.008289462
436,505_left,0.9127217,0.07535874,0.013714513
437,505_right,0.9875887,0.009963729,0.008268579
438,508_left,0.95258725,0.039733037,0.01188338
439,508_right,0.04002022,0.93827635,0.06615999
440,509_left,0.038384344,0.93478715,0.06811372
441,509_right,0.039826594,0.8286322,0.12581576
442,510_left,0.92941326,0.023885738,0.029385053
443,510_right,0.982241,0.012795036,0.010101605
444,511_left,0.9874763,0.010077635,0.008235136
445,511_right,0.9229671,0.030464375,0.033657897
446,513_left,0.024787934,0.039659902,0.953517
447,513_right,0.02465782,0.038937874,0.95440704
448,517_left,0.056034606,0.7654549,0.18074857
449,517_right,0.043226305,0.95061964,0.05082733
450,525_left,0.98759115,0.009964858,0.0082664015
451,525_right,0.98759043,0.009964364,0.008266956
452,527_left,0.44848803,0.53291667,0.019545937
453,527_right,0.9861486,0.011165579,0.008419361
454,528_left,0.9875129,0.010037072,0.00825818
455,528_right,0.98759127,0.0099648535,0.008266386
456,531_left,0.044545196,0.94914854,0.05015913
457,531_right,0.04776523,0.94558877,0.049053594
458,532_left,0.037889473,0.9145136,0.09330423
459,532_right,0.06024735,0.9303484,0.044278044
460,534_left,0.6264198,0.36892462,0.013271159
461,534_right,0.98752475,0.010022873,0.008265822
462,551_left,0.024662774,0.0389366,0.9544
463,551_right,0.035789598,0.34999874,0.54769725
464,554_left,0.9874972,0.010029868,0.008307214
465,554_right,0.969301,0.022315057,0.012383848
466,556_left,0.9858088,0.011513418,0.008285758
467,556_right,0.9874161,0.010114979,0.008288101
468,557_left,0.030184772,0.22855659,0.7295359
469,557_right,0.98475975,0.012578,0.008167833
470,558_left,0.9547119,0.028903252,0.014273465
471,558_right,0.97250754,0.021541087,0.011494764
472,560_left,0.055306643,0.9188826,0.059805047
473,560_right,0.38295424,0.61496866,0.027738893
474,563_left,0.024671469,0.03905311,0.9542815
475,563_right,0.041405324,0.9437099,0.057793353
476,566_left,0.04901315,0.9348798,0.058577165
477,566_right,0.09307928,0.8245264,0.084659584
478,568_left,0.113383345,0.885205,0.031627793
479,568_right,0.0739849,0.91723424,0.041028302
480,575_left,0.98758847,0.009966891,0.008266898
481,575_right,0.98758554,0.00996954,0.008266929
482,579_left,0.6900377,0.27690184,0.013383288
483,579_right,0.792318,0.19366847,0.010173311
484,596_left,0.8853796,0.101075195,0.013618811
485,596_right,0.9812609,0.014843951,0.009738187
486,597_left,0.07932049,0.9091993,0.041599944
487,597_right,0.045948166,0.9476456,0.049886286
488,599_left,0.045231402,0.94591844,0.051462766
489,599_right,0.046354458,0.9438612,0.053675015
490,602_left,0.7532047,0.08695547,0.033461068
491,602_right,0.9485044,0.03567713,0.015476358
492,604_left,0.04712293,0.93919975,0.05477627
493,604_right,0.05045157,0.90799105,0.076547414
494,607_left,0.8449365,0.12121229,0.025044061
495,607_right,0.987328,0.010157128,0.008350964
496,609_left,0.102993295,0.8781713,0.0432403
497,609_right,0.6262165,0.35525584,0.012300787
498,611_left,0.04777536,0.94216686,0.051846594
499,611_right,0.037697602,0.88521814,0.105880596
500,613_left,0.026167184,0.34932056,0.6267427
501,613_right,0.025358398,0.103637524,0.8812908
502,615_left,0.98759127,0.009964844,0.0082664015
503,615_right,0.98759115,0.009964895,0.00826637
504,616_left,0.98757523,0.009979386,0.00826594
505,616_right,0.98399365,0.012975216,0.008799722
506,617_left,0.040644612,0.9412086,0.05958813
507,617_right,0.04021767,0.7796613,0.14862242
508,621_left,0.9834183,0.013365356,0.008661529
509,621_right,0.9023316,0.0832143,0.012696215
510,622_left,0.024683744,0.039050367,0.95426327
511,622_right,0.028163297,0.07500168,0.9124589
512,623_left,0.9829761,0.014145197,0.008363118
513,623_right,0.05772567,0.9305433,0.052474663
514,625_left,0.9788513,0.017817719,0.008596569
515,625_right,0.052526526,0.9401297,0.046246115
516,627_left,0.987591,0.0099649895,0.0082664285
517,627_right,0.9231834,0.06089008,0.008259926
518,632_left,0.03868302,0.90170914,0.10086375
519,632_right,0.041658357,0.9452728,0.056383256
520,634_left,0.9851623,0.0122874575,0.008163585
521,634_right,0.986801,0.0106591415,0.008325985
522,636_left,0.98759127,0.0099648535,0.008266386
523,636_right,0.98759127,0.0099648535,0.008266386
524,639_left,0.98756695,0.009982161,0.008271551
525,639_right,0.98742944,0.0101096,0.0082514
526,641_left,0.07367809,0.9034684,0.061825797
527,641_right,0.055768356,0.93811464,0.042134255
528,642_left,0.028604971,0.22147687,0.7622491
529,642_right,0.13695171,0.83298326,0.047679525
530,643_left,0.9874182,0.010061607,0.008326627
531,643_right,0.9875886,0.009967013,0.008266733
532,644_left,0.98759115,0.009964877,0.008266397
533,644_right,0.987591,0.009964745,0.008266523
534,645_left,0.9875789,0.009967592,0.008272909
535,645_right,0.98353255,0.01310027,0.009144373
536,650_left,0.98759127,0.009964872,0.008266389
537,650_right,0.98759127,0.009964849,0.008266389
538,660_left,0.024760148,0.111671366,0.9032646
539,660_right,0.024682177,0.03898042,0.95432377
540,662_left,0.987591,0.009964755,0.008266523
541,662_right,0.9875907,0.009965112,0.008266523
542,666_left,0.98758686,0.009967991,0.0082670385
543,666_right,0.98759115,0.00996484,0.008266405
544,668_left,0.8337188,0.15808848,0.014115723
545,668_right,0.9872541,0.010253687,0.008289246
546,669_left,0.024779381,0.038816255,0.95425624
547,669_right,0.56148666,0.3900002,0.018878685
548,670_left,0.02466777,0.03892743,0.95439816
549,670_right,0.025099296,0.040933758,0.9518937
550,673_left,0.10520896,0.8863348,0.03504481
551,673_right,0.1830112,0.82001007,0.026300909
552,677_left,0.74303764,0.23671634,0.020522641
553,677_right,0.9875894,0.009966326,0.008266726
554,678_left,0.98759115,0.009964801,0.008266448
555,678_right,0.98759127,0.0099648535,0.008266386
556,679_left,0.024636073,0.03918531,0.95417005
557,679_right,0.024654556,0.038940445,0.954413
558,681_left,0.98759115,0.009964895,0.008266366
559,681_right,0.98756707,0.009977069,0.008272584
560,682_left,0.98569435,0.011655822,0.008090056
561,682_right,0.9394869,0.031793192,0.020447455
562,685_left,0.02313307,0.04937795,0.9452434
563,685_right,0.026175344,0.5560116,0.50650144
564,686_left,0.024768518,0.03898936,0.9541214
565,686_right,0.02467653,0.039082386,0.95421
566,687_left,0.98656833,0.010703109,0.008668652
567,687_right,0.9871587,0.010285209,0.00841353
568,690_left,0.2238499,0.7564699,0.042685743
569,690_right,0.044267956,0.9472659,0.052458875
570,694_left,0.044519722,0.94821084,0.051124148
571,694_right,0.024688076,0.039390326,0.953869
572,696_left,0.041619815,0.8987292,0.10108182
573,696_right,0.044623386,0.93325806,0.0649508
574,698_left,0.040932514,0.9150479,0.07545768
575,698_right,0.042664647,0.9008312,0.08107603
576,700_left,0.0428657,0.9448075,0.055082794
577,700_right,0.047503483,0.9271116,0.059961993
578,702_left,0.9699602,0.0279597,0.006929526
579,702_right,0.04462775,0.93833816,0.057886846
580,703_left,0.030154627,0.79398996,0.22679995
581,703_right,0.30034792,0.6484772,0.027697422
